INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69357 - accuracy: 0.49864
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69366 - accuracy: 0.5
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69336 - accuracy: 0.5
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69339 - accuracy: 0.5
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69349 - accuracy: 0.5
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69383 - accuracy: 0.49932
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69369 - accuracy: 0.49932
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69368 - accuracy: 0.49932
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69351 - accuracy: 0.5
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69358 - accuracy: 0.5
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69335 - accuracy: 0.49966
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69345 - accuracy: 0.49932
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69385 - accuracy: 0.49966
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69391 - accuracy: 0.49966
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69383 - accuracy: 0.49966
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69367 - accuracy: 0.49955
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69313 - accuracy: 0.49977
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69319 - accuracy: 0.49955
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69332 - accuracy: 0.49955
INFO:BiLSTMAgent:Validating epoch number 0 | loss: 0.69346 - accuracy: 0.49955
